Ticket,Summary,Symptom,Root Cause
Y3839-541,Negative effect of checkerboard pattern on image quality,Overexposed images,Error in the image processing path
Y3839-523,In the acquisition window acquired Image would not be displayed if during image acquisition the selected image odontogra,Previous (Patient) Image,Missing error handling in SW/FW
Y3839-662,HyperRAM is not erased for Gen3 Sensors,Previous (Patient) Image,Missing error handling in SW/FW
Y3839-664,Broken FPGA image still loaded after sensor unplugged,Previous (Patient) Image,Missing error handling in SW/FW
Y3839-712,Documentation: Recovery references multiple unfinished acquisition sessions although only one session can exist,Previous (Patient) Image,Workflow robustness
Y3839-308,Missing holder position aid pictures on Endo Horizontal (15),Unassigned,
Y3839-309,Unsupported language template list output inconsistently translated,Unassigned,
Y3839-340,Documentation: Missing document proof for test Sensor IEC and EN Performance Standards,Unassigned,
Y3839-425,Outdated standards in test ,Unassigned,
Y3839-426,Missing evidence for UL 60601-1 and CAN/CSA C22.2 No.601.1-M90,Unassigned,
Y3839-511,X-ray tab in Intraoral Config app only support German and English,Unassigned,
Y3839-513,Performing an exposure causes an unhandled state when connecting IOSS to a Server different from the one the local Sidex,Unassigned,
Y3839-515,Documentation: Binning is not taken into account in requirement for visualization time,Unassigned,
Y3839-663,Power cycle leads to unstable voltage ,Unassigned,
Y3839-699,Odontogram in indication dialog is active only if it's not predefined in viewset,Unassigned,
Y3839-709,Endo horizontal and endo vertical templates do not contain predefined anatomic regions,Unassigned,
Y3839-734,Synergy/Raptor USB Interface Module Self-Resets and Disconnects During Acquisition (reproducible only on the USB 2.0 box,Unassigned,
Y3839-722,CDR: Sensor remains armed (event detection not disabled) if integrator transitions from State 6 directly to State 3 (Idl,White Images,"Sensor permanently armed (scattering X-Ray, background accumulation)"
Y3839-586,White images with different sensors (Waukee Dental),White Images,Sensor self-triggering
Y3839-596,Sensor triggers due to electrostatic charge without x-ray and shows white image,White Images,Sensor triggers by the influence of an electric field
